Algorithm,Run,error_px,error_cm
Cartographer,1,25.267031,126.335154
Cartographer,2,24.874165,124.370823
Cartographer,3,27.569427,137.847137
Cartographer,4,25.677399,128.386993
Cartographer,5,29.637262,148.186312
Cartographer,6,22.926695,114.633474
Cartographer,7,27.398897,136.994486
Cartographer,8,21.649517,108.247585
Cartographer,9,24.638418,123.192091
Cartographer,10,22.629381,113.146906
SLAM Toolbox,1,17.717978,88.589888
SLAM Toolbox,2,22.462347,112.311735
SLAM Toolbox,3,24.088779,120.443897
SLAM Toolbox,4,22.596363,112.981815
SLAM Toolbox,5,18.003460,90.017300
SLAM Toolbox,6,19.479107,97.395535
SLAM Toolbox,7,17.857817,89.289083
SLAM Toolbox,8,18.649641,93.248205
SLAM Toolbox,9,16.423740,82.118702
SLAM Toolbox,10,15.656295,78.281474
